vmName,location,subscriptionName,resourceGroupName,vmSize,virtualNetworkName,virtualNetworkExistingRGName,subnet0Name,subnet1Name,subnet2Name,nic0IPAddress,nic1IPAddress,nic2IPAddress,adminUsername,baseUrl,diskType,storageAccountName,managedDiskStorageType,authenticationType,sshKey,availabilitySetName
VM-EastUS-PaloAltoMD-1,eastus,Microsoft Azure Internal Consumption,RG-EastUS-PaloAlto-MD,Standard_DS3_v2_Promo,ARMVNet,Networking,NVAManagement,NVAUntrusted,NVATrusted,192.168.5.7,192.168.5.71,192.168.5.42,localAdmin,https://github.com/MSELC/azure-templates/VM-PaloAlto,managed,,Premium_LRS,password,,AS-EastUS-PaloAlto-MD
VM-EastUS-PaloAltoMD-2,eastus,Microsoft Azure Internal Consumption,RG-EastUS-PaloAlto-MD,Standard_DS3_v2_Promo,ARMVNet,Networking,NVAManagement,NVAUntrusted,NVATrusted,192.168.5.8,192.168.5.72,192.168.5.43,localAdmin,https://github.com/MSELC/azure-templates/VM-PaloAlto,managed,,Premium_LRS,password,,AS-EastUS-PaloAlto-MD
